JAMA Ophthalmology,https://www.youtube.com/playlist?list=PL4VOPuLXRs1e7EabKL_vuIhGQfSceHjTy,158,39,全扒下来
Paul Glaucoma Implant,https://www.youtube.com/playlist?list=PL5zE8YGG9YBCmjpGtjRRtb5tycBGpbIgV,77,33,全扒下来
Sharjeel Eye,https://www.youtube.com/@sharjeeleye/playlists,1900,122,多个列表手工筛
Oertli Instrumente AG: vitrectomy,https://www.youtube.com/playlist?list=PLGwK4PYsz8K0aAp6OH691RLabjpbxCEfe,37,20,全扒下来，保留surgery video
"Shannon Wong, MD",https://www.youtube.com/@ShannonWongMD/playlists,285,200,多个列表手工筛
FCI Ophthalmic Video Resource,https://www.youtube.com/@fciophth/playlists,77,36,多个列表手工筛
EYE CHANNEL,https://www.youtube.com/@eyechannel9840/videos,232,44,原链接是多个列表，应改为整个频道链接，预期视频数也蛮多不止44个，全扒下来
